
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée
01:30:00;88;Réelle
01:00:00;88;Réelle
00:30:00;104;Réelle

26/12/2023;;
00:00:00;66;Réelle
23:30:00;92;Réelle
23:00:00;70;Réelle
22:30:00;98;Réelle
22:00:00;66;Réelle
21:30:00;70;Réelle
21:00:00;100;Réelle
20:30:00;94;Réelle
20:00:00;128;Réelle
19:30:00;100;Réelle
19:00:00;84;Réelle
18:30:00;394;Réelle
18:00:00;74;Réelle
17:30:00;64;Réelle
17:00:00;104;Réelle
16:30:00;116;Réelle
16:00:00;178;Réelle
15:30:00;314;Réelle
15:00:00;194;Réelle
14:30:00;170;Réelle
14:00:00;336;Réelle
13:30:00;196;Réelle
13:00:00;80;Réelle
12:30:00;68;Réelle
12:00:00;68;Réelle
11:30:00;82;Réelle
11:00:00;60;Réelle
10:30:00;98;Réelle
10:00:00;72;Réelle
09:30:00;126;Réelle
09:00:00;84;Réelle
08:30:00;72;Réelle
08:00:00;56;Réelle
07:30:00;48;Réelle
07:00:00;78;Réelle
06:30:00;70;Réelle
06:00:00;52;Réelle
05:30:00;74;Réelle
05:00:00;88;Réelle
04:30:00;60;Réelle
04:00:00;74;Réelle
03:30:00;88;Réelle
03:00:00;92;Réelle
02:30:00;90;Réelle
02:00:00;78;Réelle
01:30:00;190;Réelle
01:00:00;88;Réelle
00:30:00;86;Réelle

25/12/2023;;
00:00:00;98;Réelle
23:30:00;98;Réelle
23:00:00;90;Réelle
22:30:00;50;Réelle
22:00:00;64;Réelle
21:30:00;38;Réelle
21:00:00;56;Réelle
20:30:00;56;Réelle
20:00:00;46;Réelle
19:30:00;68;Réelle
19:00:00;42;Réelle
18:30:00;78;Réelle
18:00:00;42;Réelle
17:30:00;86;Réelle
17:00:00;42;Réelle
16:30:00;106;Réelle
16:00:00;34;Réelle
15:30:00;100;Réelle
15:00:00;214;Réelle
14:30:00;326;Réelle
14:00:00;332;Réelle
13:30:00;234;Réelle
13:00:00;308;Réelle
12:30:00;260;Réelle
12:00:00;438;Réelle
